"filename", "language", "XML", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Riya Shukla\Desktop\wheelit\src\App.css", "CSS", 0, 24, 0, 0, 3, 4, 31
"c:\Users\Riya Shukla\Desktop\wheelit\src\App.js", "JavaScript", 0, 0, 121, 0, 0, 5, 126
"c:\Users\Riya Shukla\Desktop\wheelit\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 2, 9
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Applyfilters.js", "JavaScript", 0, 0, 140, 0, 0, 1, 141
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Bar.css", "CSS", 0, 195, 0, 0, 3, 6, 204
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Bar.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 4, 108
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\CarList.css", "CSS", 0, 42, 0, 0, 0, 2, 44
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\CarList.jsx", "JavaScript JSX", 0, 0, 0, 61, 24, 3, 88
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\ChangeCity.jsx", "JavaScript JSX", 0, 0, 0, 72, 0, 3, 75
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Changecity.css", "CSS", 0, 49, 0, 0, 0, 1, 50
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\DateRange.js", "JavaScript", 0, 0, 30, 0, 0, 3, 33
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Footer.css", "CSS", 0, 62, 0, 0, 1, 2, 65
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 48, 0, 3, 51
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Homepage.css", "CSS", 0, 143, 0, 0, 0, 5, 148
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Homepage.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 5, 90
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Login.css", "CSS", 0, 155, 0, 0, 1, 2, 158
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Login.js", "JavaScript", 0, 0, 161, 0, 0, 16, 177
"c:\Users\Riya Shukla\Desktop\wheelit\src\components\Modal.css", "CSS", 0, 12, 0, 0, 0, 1, 13
